Título,Descrição,Tipo da Vaga,Habilidades Necessárias,Site
"Bolsista Graduado (Design, Ciências deDados, Ciências Exatas, Ciências da Saúde, Estatística) SESI","no SESI em parceria com IEL | IPT.Pré-requisitos:• Título: Graduado• Formação: Design, Ciências deDadosCiências da Saúde, Estatística, Tecnologia da Informação, Engenharia Biomédica, correlatas.Atividades:•Analisaras principais soluções digitais da organização: banco dedados,análisede restrições, fluxo de telas Garantir a conformidade c...",Não informado,Não informado,Analista de Dados
"Bolsista Graduado - Melhoria de Processos (Dados, Otimização e Rpa) - Grupo Boticário - Talento e Inovação",Formação Acadêmica:Ensino superior em qualquer área.Principais Atividades: •Análisede Processos:Analisarpara garantir a transparência e replicabilidade das soluções desenvolvidas.Conhecimento necessário:•AnálisedeDados: Capacidade deanalisare interpretardadospara identificar padrões e insights relevantes pa...,Não informado,Não informado,Analista de Dados
Pessoa Analista de Recursos Humanos Jr - Foco em Departamento Pessoal - São Carlos/SP (Temporário),"Descrição: Responsável por atender colaboradores e líderes por meio de ligações telefônicas e chamados via sistema Service Now, esclarecendo dúvidas e atendendo solicitações relacionadas aos processos de Recursos Humanos, como ponto, férias, benefícios, pagamentos, rescisão e outros temas pertinentes. Também fornece suporte geral às demandas da área de HR Operations.Requisitos:- Ensino Superior...",Não informado,Não informado,Analista de Dados
Assistente de Auditoria,"Descrição: Atividades:Análise, conferência e auditoria de pedidos no sistema, revisões dedadose documentos , visando identificação de coerência dedados, erros e fraudes. Preferência por experiência emanálisesdocumentais e/ ou em auditorias.  Sistema: Protheus. de pedidos no sistema, revisões dedadose documentos, visando id...",Não informado,Não informado,Analista de Dados
"Bolsista Mestre [ciências da Saúde, Ciências Biológicas, Biomedicina, Biotecnologia] SESI","da organização: banco dedados,análisede restrições, fluxo de telas, interface do usuário, regrasdadosdemográficos, bioestatísticos e de saúde;• Pesquisar eanalisardadosqualitativos e quantitativos e programas de computador paraanálise, interpretação e registro dedados;• Elaborar relatórios técni...",Não informado,Não informado,Analista de Dados
"Bolsista Mestre [ciências da Saúde, Ciências Biológicas, Medicina, Biomedicina, Biotecn.] SESI","revisada versus inteligência digital na saúde e segurança;•Analisaras principais soluções digitais da organização: banco dedados,análisede restrições, fluxo de telas, interface do usuário, regras dedadosem saúde;• Colaborar com equipes multifuncionais para identificar oportunidades de uso dedadosas últimas tendências e té...",Não informado,Não informado,Analista de Dados
Estagiário(a) em Perdas,"O foco principal da posição é apoiar a equipe naanálisededadose na elaboração de relatórios para a tomada de decisão.Responsabilidades do Cargo:Coleta eAnálisedeDados: Coletar eanalisardadosrelacionados Necessário estar cursando os últimos dois anos em: Administração, Engenharia de Produção, Engenharia de",Não informado,Não informado,Analista de Dados
Estágio em Administração de Empresas Ou Engenharia de Produção,"Descrição: Envio de pesquisas de satisfação para os alunos (separar disciplinas, solicitar bases com osdadosrequisitos: - Principais fórmulas no Excel (se, procv, cont.se), tabelas dinâmicas e segmentação dedadoscomo escrita;- Ética profissional e comprometimento;- Capacidade trabalhar em equipe;- Capacidade deanalisardados, identificar ...",Não informado,Não informado,Analista de Dados
Analista de Inteligência de Mercado Sênior,"Descrição:Analisardadosde vendas e mercado para identificar tendências e oportunidades.Desenvolver de previsão de vendas.Colaborar com as equipes de vendas para definir estratégias e metas.Realizaranálisesrequisitos: Superior em Administração, Economia, Estatística, Finanças ou área relacionada.Experiência emanálisededados...",Não informado,Não informado,Analista de Dados
Consultor Gestão Saúde Corporativa - Projetos,"um time colaborativo, multidisciplinar, incluindo profissionais de saúde, analista de negócios e dedados, orientados para resultado e alta performance.- Realizar estudos eanálisesdedadosinternos e de mercado ações de gestão de saúde populacional e melhoria do desempenho do negócio;- Garantir que as entregas eanálisessejam qualificadas ...",Não informado,Não informado,Analista de Dados
Analista Informações Gerenciais Pleno,"atendimento de demandas analíticas, investigações, dúvidas de relatórios, etc;Responsável pela elaboração deanálisesOffice Avançado;Conhecimento avançado de Power BI;Desejável conhecimento de VBACapacidade de interpretardadoscomplexos e extrair insights significativosDomínio de ferramentas deanálisededados, principalmente Power BiOrient...",Não informado,Não informado,Analista de Dados
Analista de Inteligência de Mercado,"de resultados da empresa contra o planejado; •	Relacionamento com as demais áreas para obtenção dedadosque auxiliem na composição dos indicadores; •	Revisão periódica das fontes dedados, para garantir a finanças, marketing, preços e táticas de vendas.•Analisaros cenários micro e macroeconômicos.•Analisarosdadosdo mercado ...",Não informado,Não informado,Analista de Dados
Estágio Performance,Descrição: Auxiliar na coleta e organização dedadosde desempenho e indicadores chave;Realizaranálisesdedadospara identificar tendências e oportunidades de melhoria;Apoiar na manutenção e atualização Colaborar com diferentes departamentos para entender as necessidades de métricas e KPIs;Desenvolveranálises;Conhecimento em ferramentas de...,Não informado,Não informado,Analista de Dados
Analista Contábil Jr,"Descrição:Análise, conferência, e auditoria de pedidos de compras em sistema, revisões dedadose documentos , visando identificação de coerência dedados, erros ou fraudes. Excel nível intermediário.Experiencia emanálisesdocumentais e/ou em auditorias, cruzamento de informações",Não informado,Não informado,Analista de Dados
Analista de Informações Gerenciais Sr,"os relatórios de desempenho e KPIs das demonstrações financeiras e endividamento bancário;Levantardados, registro e indicadores de gestão, desenvolvendoanálisesestatísticas, cruzamentos dedadose interpretações destas informações e dos resultados;Análisee explicação de variações do P&L;Interagir com o Especialista estoque e seus impactos...",Não informado,Não informado,Analista de Dados
Analista de Recursos Humanos Pleno,"que devem estar alinhadas aos objetivos organizacionaisRealizar e/ou apoiar nas etapas do processo deanálisedosdadosda área de Recursos Humanos, entre elas: coleta dedados, limpeza e pré-processamentos dosdados,análisee busca de padrão dosdadosextraídos, comunicar e expor resultados, entre outrosColetar , or...",Não informado,Não informado,Analista de Dados
Analista Financeiro Pl,"Descrição: Missão do cargo: Forneceranálisesprecisas e pontuais que auxiliem na tomada de decisões Organizar eanalisarosdadosfinanceiros, elaborar relatórios, ser suporte na elaboração de orçamentos de caixa e apoiar atividades de controle e planejamento financeiro.Principais desafios do cargo: •AnálisedeDadosFinanceiros...",Não informado,Não informado,Analista de Dados
Estagiário de Controle de Negócios,Descrição: Descrição:Extrair e organizardadosdo sistema e organizar banco de dados.RealizaranálisesPossuir habilidade para trabalhar com números edadoscom precisão. Gostar deanalisardadose interpretar resultados.,Não informado,Não informado,Analista de Dados
Estagiário de Controle de Negócios,Descrição: Descrição:Extrair e organizardadosdo sistema e organizar banco de dados.RealizaranálisesPossuir habilidade para trabalhar com números edadoscom precisão. Gostar deanalisardadose interpretar resultados.,Não informado,Não informado,Analista de Dados
Analista Pl Qualidade Assegurada,"confiabilidade e satisfação do cliente, através da melhoria contínua dos seus processos e produtos, daanáliseAnalisardados, direcionar as ações de melhoria e verificar os principais pontos com necessidade de atuação As principais responsabilidades para esta posição geralmente incluem:Atuar naanálisededadosde campo e suas te...",Não informado,Não informado,Analista de Dados
Estagiário(a) de Business Intelligence,"Descrição: Atividades a serem desenvolvidas: - Criar aplicações eanálisededados;- Desenvolver dashboards analíticos no Power BI para diversas áreas;- Rotinas de extração, transformação e carregamento dedados;- Desenvolver apresentações eanálisespara outras áreas;- Criação e manutenção de relatórios;- Apoio - Ensino superior em andamento...",Não informado,Não informado,Analista de Dados
Analista Comercial,Descrição: Este profissional será responsável poranalisardadose informações relevantes para desenvolver base de clientes.Habilidades Necessárias:Conhecimento de Marketing e Vendas;Planejamento e Negociação;AnálisedeDados;Comunicação.Outros requisitos:,Não informado,Não informado,Analista de Dados
Analista Governança de Suprimentos - Vaga Exclusiva para Mulheres,"Governança de Suprimentosda Samarco será responsável por assegurar a conformidade e a sustentabilidade dosdadosda Gerência Geral de Suprimentos, realizando aanálise, monitoramento e sua curadoria.Destacam-se como Elaboração de relatórios de resultados mensais;•	Criação e gestão de dashboards via ferramentas de BI;•Análisededadospara sup...",Não informado,Não informado,Analista de Dados
Estágio em Administração,"Descrição: Pesquisar manualmente informações de produtos, preços e outrosdadosrelevantes em sites;Organizar informações coletadas em planilhas ou sistemas internos;Auxiliar na criação de relatórios a partir dosdadosobtidos.Ambiente colaborativo e de aprendizado;Oportunidade de desenvolver habilidades emanálisee coleta dedados;Horário fl...",Não informado,Não informado,Analista de Dados
Analista Financeiro - Sistema Sankya,"O candidato ideal terá experiência em finanças corporativas, contabilidade eanálisededadosfinanceiros.Responsabilidades :-Analisaro fluxo de caixa da empresa;- Elaborar relatórios financeiros eanálisesde desempenho;Contas Conhecimento avançado em Excel e sistemas de gestão financeira, preferencialmente o Sankya;- Habilidade eman...",Não informado,Não informado,Analista de Dados
Estagiário de Produtos- Divinópolis,"Descrição: Estamos em busca de um talento que tenha habilidades emanálisededadose boa comunicação vaga, é essencial:Cursando Ensino superior em cursos de Engenharias;Boa comunicação;Experiência comanálisededados;Pacote Office Intermediário;Noções de Informática.>> Principais responsabilidades:Auxiliar mercados e principais concorrentes;...",Não informado,Não informado,Analista de Dados
Analista de Bi Pleno,"Descrição: •	Compreender os objetivos de negócio para extração dedadosrelevantes;•	Reunir informações relevantes (dadosoriundos de sistemas ERP, CRM, Google Analytics, etc.);•	Garantir a qualidade dosdados, das integrações e a consistência de relatórios;•	Responsável pelaanálisededados, desenho/modelagem DML) e MS SQL;•	Apl...",Não informado,Não informado,Analista de Dados
Analista de Compras Sr (Inteligência de Suprimentos),"Descrição:  
• Desenvolveranálisesdedadosdetalhadas para monitoramento de KPIs, como nível de estoque • Realizaranálisespreditivas para otimização, com foco naanálisede demanda e redução de custos Competências Técnicas:
 
• Avançado em Excel, VBA, Power BI, Qlik Sense e Python paraanálisededados• Desejá...",Não informado,Não informado,Analista de Dados
Bolsista Graduado - Bosch Curitiba - Digitalização e Business Analytics do Processo de Remanufatura,"Sua missão será propor uma solução inovadora para digitalizar e otimizar a coleta eanálisededados, Formação Acadêmica:Ciência da computação,Análisede sistemas,AnálisedeDados, Engenharia de computação Data Science.Idioma: Inglês - Nível intermediário á avançado.Principais Atividades: •	Levantamento dedados: C...",Não informado,Não informado,Analista de Dados
Analista de Sustentabilidade Esg,"Descrição: :- Coletar,analisare interpretardadosrelacionados à sustentabilidade e ESG;- Elaborar - Graduação em Administração, Economia, Engenharia Ambiental ou áreas relacionadas;- Experiência emanálisededadose elaboração de relatórios de sustentabilidade;- Conhecimento e experiência com CDP e ISE;-",Não informado,Não informado,Analista de Dados
Estágio em Remuneração Comercial,"O estagiário irá apoiar a equipe de remuneração naanálisededados, elaboração de relatórios e desenvolvimento Facilidade em manipular grandes volumes dedados;Conhecimento em lógica de programação;Bons conhecimentos Excel, Power BI (SQL e Python desejável).Principais responsabilidades ou desafios:Coletar, organizar eanalisardados",Não informado,Não informado,Analista de Dados
Analista Planejamento Jr,"planejamento, essa pode ser a oportunidade que você estava procurando.Responsabilidades:- Realizaranálisesdedadose relatórios para identificar tendências e oportunidades de melhoria;- Desenvolver e implementar completa em Administração, Engenharia, Economia ou áreas afins;- Experiência prévia em planejamento,análisededadose elaboração ...",Não informado,Não informado,Analista de Dados
Analista de Crédito Sr,"Descrição: Experiência emanálisesde crédito de empresas, com foco no mercado de Seguro Garantia; Conhecimento emanálisesde demonstrativos financeiros. dedadose demonstrativos contábeis, indicadores financeiros, fluxo de caixa, projeções financeiras, gestão de KPIs, colaterais e diretrizes de crédito, além de cenários macroeconômicos; Realizara...",Não informado,Não informado,Analista de Dados
Analista de Trade Marketing Sênior,"Se você é apaixonado por marketing e tem experiência emanálisededados, planejamento estratégico e oportunidade perfeita para você.Responsabilidades:- Desenvolver e implementar estratégias de trade marketing;-Analisardadosde mercado e comportamento do consumidor para identificar oportunidades de negócios;- Gerenciar Experiência comprovada...",Não informado,Não informado,Analista de Dados
Estágio Superior em Sustentabilidade,"realizar pesquisas sobre práticas e tendências sobre o tema de gestão ambiental, auxiliar na coleta eanálisededados, criação de relatórios, entre outras atividades.Outros requisitos: Requisitos DesejáveisConhecimento básico em sistema de gestão ou normas ISO 14001 e 9001, ferramentas deanálisededadoscomo Excel.",Não informado,Não informado,Analista de Dados
Especialista de Cimento - Cantagalo/RJ,Descrição: Principais atividades:Realizar medições em campo; Inspeção de equipamentos;Análisedosdadosenergia; Experiência com audit de moinhos e fornos; Pacote Office avançado (principalmente Excel);Análisededadosavançado;Desejável:Experiência na área de processos; Conhecimento em SAP.,Não informado,Não informado,Analista de Dados
Técnico de Monitoramento Sr,"de Monitoramento Sênior para atuar em um contrato no Rio de Janeiro Descrição das atividades:Efetuaanálisede Vibrações em equipamentos rotativos com coletor dedados, com identificação das falhas;Liderança manutenção e engenharia para execução de serviços como inspeção de equipamentos rotativos, coleta dedadosde vibração e entrega de relatórios;Efetuar...",Não informado,Não informado,Analista de Dados
Estagiário,".•	Apoio ao Controle de Custos: Colaborar com a equipe naanálisee no controle dos custos operacionais , identificando variações e sugerindo possíveis melhorias.•AnálisedeDados: Participar da coleta eanálisededadosrelacionados aos custos, ajudando a identificar tendências e oportunidades de economia.Outros",Não informado,Não informado,Analista de Dados
Especialista de Garantia de Qualidade,"Superior completo em Farmácia ou Química- Vivência na área de Controle de Qualidade- Conhecimentos emanáliseslaboratoriais, incluindo equipamentos de alta complexidade, e ferramentas da qualidade- Rotina comanálisesocorrências analíticas e resultados analíticos fora de tendência/especificação, avaliação de integridade dedadoseanálisesd...",Não informado,Não informado,Analista de Dados
Assistente de CRM - São Paulo/SP (Exclusiva para Pessoa com Deficiência),"👟💻Sedadossão seu superpoder, e você adora descobrir o que está por trás dos números... 👀 Essa vaga O que você vai fazer:-Analisarconjuntos dedadospara identificar padrões e tendências;- Gerar insights campanhas.Requisitos:- Cursando Graduação em áreas de Marketing, TI ou ADM;- Conhecimento em Excel paraanálisededadose cr...",Não informado,Não informado,Analista de Dados
Analista de Controladoria Sr,"Descrição: Coletar, organizar,analisare interpretar grandes conjuntos dedadospara fornecer insights valiosos e apoiar na tomada de decisões estratégicas nas organizações;Elaborar eanalisarrelatórios para acompanhamento das diversas áreas de negócio, orientar o processo e elaboração dos orçamentos,análisereais x previstos (dentro do orç...",Não informado,Não informado,Analista de Dados
Supervisão de Enfermagem – CCIH – Biocor,Orientar os profissionais sobre o isolamento e registrar no sistema e controles;- Realizar cálculos eanálisesas coletas mensais de materiais para cultura microbiológica de instrumentais cirúrgicos;- Orientar eanalisardadosde adesão às práticas de prevenção de infecção;- Orientar a coleta eanalisardadosde adesão higienizaçã...,Não informado,Não informado,Analista de Dados
Analista Comercial,"Descrição:  Analista ComercialResponsabilidades:- Levantamento de informações paraanálisee validação dedadose indicadores comerciais e financeiros;- Criação de relatórios gerenciais;- Desenvolvimento internos;- Apoio na definição de estratégias comerciais;- Monitoramento do mercado, fornecendo insights eanálisesavançado em  Excel -Business Intelligen...",Não informado,Não informado,Analista de Dados
Analista de Projetos,"Descrição: Auxiliar em entrevistas com clientes para coletas dedados;Analisarbases dedadoscom o foco de diagnosticar oportunidades de melhoria de custos, produtividade, processos e serviços baseados emdados",Não informado,Não informado,Analista de Dados
Analista Sr - Suprimentos - Corporativo RJ,"Conhecimentos desejáveis de Excel avançado, Power BI (query, linguagem M e DAX); SQL; Dax Studio, Banco deDadose sistemas integrados de gestão.Atividades:- Realizar o relacionamento eanálisededados;- Construir os KPIs e dashboards com foco nosdados, relacionamentos e linguagens;- Realizar a manutenção dos KPIs e dashboards com foco nos <...>",Não informado,Não informado,Analista de Dados
Analista de Documentação Jr (Lem),"Descrição: Conferência e correção dedadosbrutos;Elaboração de boletins, certificados, relatórios draft estudos;Correção de relatórios conforme apontamentos dos inspetores de qualidade/clientes;Envio dedadosbrutos deanálisee relatórios para os clientes;Elaboração de logbook para arquivo de documentos, lançamento disponibilizar na rede (via eletrônica)...",Não informado,Não informado,Analista de Dados
Recepcionista de Amostras,Descrição: •	Receber e avaliar se as amostras chegaram em condições a seremanalisadas;•	Realizar os ;•	Separar as amostras de acordo com os procedimentos estabelecidos;•	Separar e guardar as amostrasanalisadasno arquivo ou descartar quando for pertinente;•	Separar e enviar as amostrasanalisadasà clientes ou parceiro quando for pertinente;•	Checar mens...,Não informado,Não informado,Analista de Dados
Analista Administrativo Sr - Pedro Leopoldo/MG (Area Saude e Segurança),"Descrição: Principais Atividades:•Analisarcriticamente os processos da área, através de Indicadores implementação do Sistema de Gestão de Saúde e Segurança;• Gerenciar o desenvolvimento e rotina da apuração dedadosestatísticos; Responsável por realizaranálisecrítica da estatística de acidentes relacionadas a performance e implementação de programas d...",Não informado,Não informado,Analista de Dados
Analista de Transporte,"Descrição: Monitorar,analisare controlar osdadosde telemetria dos veículos da frota, visando a otimização Desenvolver relatórios gerenciais com base nosdadosde telemetria, destacando indicadores de desempenho Treinar e orientar os motoristas sobre boas práticas de direção com base nasanálisesdosdadosde telemetriaA...",Não informado,Não informado,Analista de Dados
Analista de Qualidade,"melhorar a qualidade;- Realizar treinamentos para a equipe sobre boas práticas de qualidade;- Monitorar eanalisardadosde qualidade para identificar tendências e oportunidades de melhoria.Requisitos: - OBRIGATÓRIO controle de qualidade;- Conhecimento em ferramentas de qualidade, como PDCA, FMEA e 5S;- Habilidade emanálisededadose resoluç...",Não informado,Não informado,Analista de Dados
Assistente de Logística - Temporário - 09h as 19h,"identificação de oportunidades de melhoria.Comunicação: Manter contato constante com fornecedores parceirosAnálisedeDados: Coletar eanalisardadosrelacionados a custos e prazos, contribuindo para a tomada de decisões.Emissão",Não informado,Não informado,Analista de Dados
Estagiário Técnico de Processos,"Office (principalmente Excel)Atribuição do CargoAcompanhar rotina de processos e produção, realizaranálisededados, elaborar relatórios de processos, realizar medições em campo, realizaranáliseslaboratoriais",Não informado,Não informado,Analista de Dados
Auxiliar Administrativo,"Descrição: MISSÃO DO CARGO: O(a) Auxiliar Administrativo atuará como apoio nasanálisesdedadose Plataforma Será responsável, pelo apoio na gestão e otimização dedadose cadastros na plataforma educacional da a solução educacional.Principais Responsabilidades:Apoiar no gerenciamento e monitoramento dedadose cadastros: auxiliando nas infor...",Não informado,Não informado,Analista de Dados
Recepcionista de Amostras,Descrição: •	Receber e avaliar se as amostras chegaram em condições a seremanalisadas;•	Realizar os ;•	Separar as amostras de acordo com os procedimentos estabelecidos;•	Separar e guardar as amostrasanalisadasno arquivo ou descartar quando for pertinente;•	Separar e enviar as amostrasanalisadasà clientes ou parceiro quando for pertinente;•	Checar mens...,Não informado,Não informado,Analista de Dados
Coordenador (a) de Programas em Saúde,"Descrição:Análisee pesquisa de mercado: Entender eanalisaro mercado para identificar oportunidades experiência, etc)Identificação de parcerias estratégicas: identificar e negociar parcerias estratégicasAnálisededados: Utilizardadospara embasar as decisões estratégicas e medir o sucesso dos projetosComunicação",Não informado,Não informado,Analista de Dados
Analista Laboratorio I,"Descrição: Descrição longaExecutaranálisese registros de resultados e comunicação. Auxiliar nasanálisesde matérias primas e produto final, impurezas minerais e vegetais, comparando os canas, para identificar e quantificar a existência de entrenós brocados, preencher o formulário com osdadoslevantados, posteriormente registrar osdadosn...",Não informado,Não informado,Analista de Dados
Analista de Vendas,"Descrição: -Analisare aprovar as propostas comerciais; - Colher documentação do cliente e enviar à Assessoria paraanálisede crédito; -Analisarapontamento cadastral e perfil de renda do comprador; - Acompanhar o mercado, levantandodadoseanalisandoa concorrência; - Acompanhar atividades das equipes",Não informado,Não informado,Analista de Dados
Coordenador de Marketing,"Liderar e coordenar uma equipe de especialistas em campanhas de performance, SEO, SEM, social media eanálisededados. estratégias conforme necessário para aumentar a presença online e a interação com o público.Análise deDados: Utilizar ferramentas deanálisecomo Google Analytics  e outras plataformas para monitorar o desempenho e Interpre...",Não informado,Não informado,Analista de Dados
Analista de Planejamento Pl- Planejamento Logístico - Corporativo SP,"Descrição: Requisitos:- Formação superior completa;- Conhecimento dos ERPs hospitalares, ferramentas deanálisesambiente hospitalares, com foco em OPME é um diferencial;Experiência com gestão de processos operacionais,análisee promovendo o desenvolvimento profissional.- Apoio à gestão: Prestar suporte à gestão, fornecendoanálisesdedados:...",Não informado,Não informado,Analista de Dados
Analista Monitoramento Pl - Regras Comerciais & Cadastro – Monitoramento de Itens - Corporativo RJ,engenharia;- Pré-requisitos: domínio de Excel;- Desejável: conhecimento de Power BI e estrutura de banco dedadosDiferencial: - Conhecimento do mercado de saúde brasileiro;- Conhecimento emanálisefinanceira;- Experiência Atividades:  • Estruturar relatórios analíticos a partir do relacionamento de diversas tabelas em bancos dedados;•Analisar,Não informado,Não informado,Analista de Dados
Arquiteto de Sistemas,"qualidade- Experiência em elaboração de propostas técnicas- Experiência em resolução de problemas (análisede causa raiz)- Sólidos conhecimentos em Banco dedados, shell script e boas práticas de programação versão e automação de testes- Conhecimento em metodologias ágeis como Scrum- Conhecimentos em Banco deDadosConhecimentos em Infra as a Code como Ans...",Não informado,Não informado,Analista de Dados
Acadêmico de Enfermagem - Manaus,dos hospitais;•	Auxiliar no acompanhamento do paciente no momento de admissão na unidade;•	Extrairdadosprontuário do paciente para alimentar as informações no Sistema Epimed Monitor;•	Auxiliar na gestão eanálisesdedadosclínicos dos pacientes.Sobre a Vaga:Carga horária do estágio: 30h semanais;Benefícios: bolsa,Não informado,Não informado,Analista de Dados
Especialista em Custos,"Experiência:Conhecimentos de Finanças Corporativas e Contabilidade;Experiência com acompanhamento eanálisecargo:Atuar como Business Partner da Unidade;Responsável pela extração, padronização e consolidação eanálisededadosfinanceiros que suportem os reports, gerando insumos para tomada de decisão;Elaborar ferramentas suporte às áreas operacionais gara...",Não informado,Não informado,Analista de Dados
Consultor de Projetos,"Descrição: Realizar entrevistas com clientes para coletas dedados;Analisarbases dedadoscom o foco de diagnosticar oportunidades de melhoria de custos, produtividade, processos e serviços baseados emdados",Não informado,Não informado,Analista de Dados
Analista de Informação em Saúde (Drg),Descrição: Atividades: operacionalizar a aplicação das ferramentas cabíveis para coleta eanálisedos requisitos: Superior completo.Conhecimento de Informática – Pacote Office.Conhecimento clínico paraanáliseHospitalar.Desejável experiência com a metodologia DRG (Grupos de Diagnósticos Relacionados);Desejável conhecimento emanáliseestatística ea...,Não informado,Não informado,Analista de Dados
Estagiário (a) Técnico Laboratório,Descrição: - Apoio as atividades de laboratório deanálisesde banhos e amostras- Realizar correção de banhos nas áreas produtivas- Coletar amostras nas áreas produtivas- Lançardadosno SAP-Analisarresultados e identificar oportunidades de melhoria- Conduziranálisesde anomalia de rotina- Desenvolver projetos e estoques de insumos- Suporta...,Não informado,Não informado,Analista de Dados
Analista de RH / Analytics / Indicadores (São Paulo/Sp),"responsável pelo desenvolvimento, criação e monitoramento de dashboards, indicadores e métricas, oferecendodadose projeções para a leitura de cenários;•	Geração eanálisededadosestratégicos, apoiando gestores apresentação do book de indicadores de todos os subsistemas de RH / Gestão de Pessoas;•	Controle orçamentário,análiseprocessos.Re...",Não informado,Não informado,Analista de Dados
Analista de Logística,"da operação;Gestão do SLA de serviços prestados ao cliente;Acompanhamento e gestão de divergências;Análise;Sólida experiência na área de Logística e Transportes;Vivência com contratação de transportadoras,análisede custo de fretes e negociação de preços;Habilidade com sistema ERP (importação dedados, apresentação eanálisede indicadores);...",Não informado,Não informado,Analista de Dados
Assistente Pricing e Inteligência de Mercado,Descrição: Assistente de Pricing e Inteligência de MercadoEstamos buscando por:Profissionais que realizemanálisededadose estratégias de precificação para se juntar à nossa equipe de Pricing e Inteligência de Mercado.Você será responsável por:Realizaranálisesde mercado para identificar oportunidades de precificação;Desenvolver e implementar estratégia...,Não informado,Não informado,Analista de Dados
Analista Laboratorio I - Temporária,"Descrição: Responsabilidades Auxiliar nasanálisesde matérias primas e produto final, impurezas minerais canas, para identificar e quantificar a existência de entrenós brocados, preencher o formulário com osdadoslevantados, posteriormente registrar osdadosno sistema.Organizar os materiais e equipamentos necessários para asanálises, colo...",Não informado,Não informado,Analista de Dados
Medico do Trabalho,"trabalho e demissional, levantar hipóteses diagnósticas, solicitar exames complementares, interpretandodadosaos trabalhadores, avaliando, medicando e acompanhando os tratamentos clínicos prestados; - Avaliar eanalisare Atualizar procedimentos de benefícios de saúde, acompanhando custos, orçamentos eanálisesatuariais - Realizar as demais tarefas neces...",Não informado,Não informado,Analista de Dados
Analista de Custo e Estoque Sênior,"aprimorar o controle, conferir os lançamentos sistêmicos e os saldos de estoque, conferir o input dedadospara garantir a integridade das informações, executar eanalisarinventários trimestrais, realizar fechamentos rendimentos de produção;Analisarrecebimento de MP, e realizar as tratativas das diferenças;Realizar composição de estoque conforme moviment...",Não informado,Não informado,Analista de Dados
Gerente de Mis  -  São Paulo,".• Delinear base da modelagem do banco dedadosda área de MIS, com informações gerenciais e base de demonstrações dos resultados por período, a fim de consolidar as informações paraanálisegerencial.•Analisarmovimentações financeiras e contábeis que ocorreram em determinado exercício (Visão Gerencial estejam alocados em seus respectivos centros de cust...",Não informado,Não informado,Analista de Dados
Coordenador (a) de Growth (Marketing),"a aquisição e retenção de alunos, definindo métricas e KPIs para monitorar o desempenho.Análise deDados: Coletar,analisare interpretardadosde diversas fontes para identificar oportunidades de crescimento IntermediárioOutros requisitos: Requisitos Essenciais:Pensamento Analítico: Habilidade em coletar,analisare interpretardados",Não informado,Não informado,Analista de Dados
Analista Compras III,"Descrição: Atribuições:•	Receber,analisare gerir as demandas de aquisição relacionadas as categorias sob sua responsabilidade;•	Realizar o input dosdadosno sistema, preparar documentos,analisare negociar relacionadas a processos de contratação e preparar documentação para formalizações contratuais;•	RealizaranáliseExterior, Contabilida...",Não informado,Não informado,Analista de Dados
Assistente Sr Administrativo - Exclusiva para Pcd - Barra da Tijuca/RJ,Descrição: Responsabilidades e AtribuiçõesConsolidar relatórios gerenciais;Analisaro desempenho mensal consolidado da área;Extrair informações da base dedados;Suporte ao time de vendas.RequisitosConhecimento,Não informado,Não informado,Analista de Dados
Estagiário (a) na Garantia da Qualidade,"ensino superior em Farmácia, ter conhecimento em Boas Práticas de Fabricação (BPF) e ter habilidade emanálisedocumentos.Responsabilidades:Realizar o levantamento diário dos lotes der processo reprovados, recolher osdadosinvestigação de reclamações de clientes.Apoiar a realização de treinamentos.Apoiar a compilação dedadosCursando ensino superior em F...",Não informado,Não informado,Analista de Dados
Coordenador Operações | Logístico,entrega de medicamentos e produtos farmacêuticos.Gerenciamento OperacionalAnálisedeDadosInovação e Tecnologia,Não informado,Não informado,Analista de Dados
Desenvolvedor RPA Pleno,"• Automatização de Processos:Analisarprocessos de negócios existentes, identificar oportunidades • Experiência emanálisededados, preferencialmente em ambientes corporativos e complexos. • Domínio avançado em SQL e Python, com foco em bibliotecas deanálisededadose machine learning • Proficiência em ferramentas de visualiza...",Não informado,Não informado,Analista de Dados
Analista de Operações Jr.,Descrição: Atualizar e divulgar Dashboard Operacional;Analisare apresentar a performance da operação ;Analisare preparar os relatórios de fechamento periódico;Controlar e atualizar indicadores operacionais ;Garantir consistência dedadosnos sistemas;Acompanhar e garantir monitoramento de operações críticas ;Analisare realizar follow-up jun...,Não informado,Não informado,Analista de Dados
Analista de Qualidade Jr.,e controle de RNC's; auxílio narevisão de procedimentos; levantamento de riscos junto aos setores;análisededados) em atendimento a norma ISO 9001:2015 e rotinas pertinentes da área.,Não informado,Não informado,Analista de Dados
Gerente de Vendas - Autopeças,.- Habilidade analítica e capacidade de decisão baseada emdados.- Disponibilidade para residir na região SP.Principais responsabilidades:- Liderar e motivar a equipe de vendas para alcançar metas e resultados.-Analisardadose tendências de mercado para identificar oportunidades.- Gerenciar e expandir a carteira de clientes,Não informado,Não informado,Analista de Dados
Analista Tributário,"eficiência nas atividades relacionadas ao processamento de obrigações fiscais acessórias e na organização dedadoscontábeis e fiscais.Principais Responsabilidades:•	Auxiliar na extração, organização eanálisededadosinformacional necessário às equipes de advogados;•	Preparar e consolidar relatórios internos e planilhas deanáliseacessórias...",Não informado,Não informado,Analista de Dados
