Título,Descrição,Tipo da Vaga,Habilidades Necessárias,Site
Coletor deDados,"expedida apresenta o mesmo número de controle apresentado na etiqueta mãe, por meio da conferência viaanálise",Não informado,Não informado,Analista de Dados
Coletor deDados,"expedida apresenta o mesmo número de controle apresentado na etiqueta mãe, por meio da conferência viaanálise",Não informado,Não informado,Analista de Dados
Engenheiro deDadosSr,"Descrição: Formação acadêmica:•	Nível superior completo em ciências da computação,análisede sistemas Microsoft;• Desenvolvimento em sql; phyton e/ou spark de notebooks;• Conhecimento de Engenharia deDadosexperiência com Data Lake serão considerados como diferenciais;Resumo das atribuições do cargo: • Ingestão dedadospara datalake;• Entregardad...",Não informado,Não informado,Analista de Dados
Arquiteto deDadosPleno,", aplicando técnicas de para construir modelos dedadosrobustos que suportem bioinformatas, analistas e cientistas dedadosno desenvolvimento de projetos estratégicos. :﻿• Manter e evoluir pipelines dedados, bancos dedados, data lakes e data warehouses.• Garantir o monitoramento .• Trabalhar em colaboração com equipes de ciência ean...",Não informado,Não informado,Analista de Dados
"Estágio em Precificação,Análisee Aceitação de Riscos","Perfil analítico;Facilidade em lidar com bases dedados;Senso crítico;Organizado;Boa comunicação verbal Administração, Ciências Contábeis, Matemática ou cursos correlatos;Bons conhecimentos em Excel e ferramenta dedadoselaboração relatórios gerenciais.Principais responsabilidades ou desafios:Apoiar a área no levantamento dedados",Não informado,Não informado,Analista de Dados
Analista deDadosBi,"Descrição: Responsável por coletar, organizar eanalisarconjuntos dedadospara oferecer insights conforme da Computação, Engenharia ou Tecnologia da informação e áreas correlatas.Experiência comprovada emanálise",Não informado,Não informado,Analista de Dados
AnalistaDadosSr - Corporativo,"sistemas de coleta dedados,análisededadose outras estratégias que otimizem a eficiência estatística ;•	Interpretardados,analisarresultados usando técnicas estatísticas e fornecer relatórios de progresso ;•	Identificar,analisare interpretar tendências ou padrões em conjuntos dedadoscomplexos;•	...",Não informado,Não informado,Analista de Dados
Pessoa Analista deDados- Senior,"da diretoria de vendas e será responsável por suportar o time, com a criação de novos relatórios eanálises, além de garantir a acuracidade das informações geridas pela área.Responsabilidades:Criação deanálisesConhecimentos:Saber criar relatórios com datasets do Power BI (front-end).Vivência na área de  manipulação dedadoscomerciais (sell in, sell out...",Não informado,Não informado,Analista de Dados
Analista deDados- CRM,"Você será responsável por:Administrar e otimizar as estratégias de CRM, garantindo a integridade dosdadosimpactados nas diversas plataformas;Desenhar réguas e automatizá-las dentro das nossas plataformas;Realizaranálisespor exemplo, Salesforce, HubSpot), SQL e Excel avançado.Perfil analítico, capacidade de interpretardadose transformar insights em aç...",Não informado,Não informado,Analista de Dados
Analista Gestão deDados,Descrição: Acompanhamento e disparados das informações & controles.Análise de indicadoresAnálisede,Não informado,Não informado,Analista de Dados
